DRG,DRG_Cost_FFyear2012,DRG_Cost_FFyear2013,DRG_Cost_FFyear2014,DRG_Cost_FFyear2015,DRG_Cost_FFyear2016,DRG_Cost_FFyear2017,DRG_Cost_FFyear2018,DRG_Cost_FFyear2019,_2012_costweight,_2012_average_total,_2013_costweight,_2013_average_total,_2014_costweight,_2014_average_total,_2015_costweight,_2015_average_total,_2012_private,_2012_paed,_2013_private,_2013_paed,_2014_private,_2014_paed,_2015_private,_2015_paed,_2016_private,_2016_paed,ave_charge_1112,ave_charge_1213,ave_charge_1314,ave_charge_1415,ave_charge_1516,ave_charge_1617,ave_charge_1718,ave_charge_1819
D14Z,4735,4691,6658,4761,4940.5,5301.4,5349.5,5397.6,1,4735,1,4691,,,,,,,,,0.7,0.83,,,,,1435,1558,1924,1617,1681.02,1808.316,1863.42,1918.524
D15Z,10411,11484,10279,11004,12301,12445.91088,13571.86934,14093.35648,2,10411,2,11484,2,10279,2,11004,0.34,1,0.21,0.94,0.69,0.91,0.3,0.93,0.24,1,3292,3481,3759,4131,4471.93,4785.33,4855.66,4943.86
D40Z,3153,3028,3041,3337,3608,3864.193079,3974.727858,4408.857187,1,3153,1,3028,1,3041,1,3337,0.15,1.09,0.16,1.22,0.76,1.1,0.15,1,0.14,1.06,974,1019,1055,1080,1105.14,1144.87,1190.65,1229.49
D60A,13209,12594,13641,13675,14612,15067.43741,15707.79472,16361.87768,3,13209,3,12594,3,13641,3,13675,0.06,1.22,0.08,1,0.81,1,0.07,1,0.06,1,8674,9205,10497,8493,13246.89,9856.47,9124.18,11504.23
D60B,3503,3447,5672,3313,3525,3691.279367,3657.659455,3815.435268,1,3503,1,3447,1,5672,1,3313,0.13,1.3,0.1,1.36,0.79,1.15,0.08,1.26,0.09,1.51,2380,2259,3535,2579,2510.72,2421.46,3718.29,5031.37
D60C,1732,1732,1732,1732,1732,,,,,,,,0,1732,,,,,,,,,0.2,1,0.32,1,,,1071,,,,1361.36,1264.47
D61A,,,5240,4566,4610,5143.461383,3689.332558,3835.277809,,,,,1,5240,1,4566,0.13,1,0.14,1,,,0.12,1,0.13,1,,,3868,3929,,4451.87,5129.14,5213.6
D61B,,,3256,2076,1987,2087.381773,1380.137686,1393.947348,,,,,1,3256,0,2076,0.17,1.59,0.17,1.52,,,0.15,1.49,0.16,1.44,,,2474,2326,,2196.28,3192.55,3243.81
D61C,,,1051,3321,3298.5,,,,,,,,0,1051,,,,,,,,,0.23,1,0.34,1,,,997,,,,1052.08,924.2
D61Z,2934,2755,3182,3321,3298.5,3486.6,3616.1,3745.6,1,2934,1,2755,,,,,,,,,0.74,1.3,,,,,2488,2570,2446,3128,2945.79,,,
D62A,,,3585,5906,6596,6158.654625,6015.238673,5637.98319,,,,,1,3585,1,5906,0.07,1,0.1,1,,,0.09,1.49,0.08,1.45,,,2090,4107,,3917.4,2689.83,2678.8
D62B,,,996,2084,2080,1930.647508,1502.508979,1522.189602,,,,,0,996,0,2084,0.08,1.26,0.1,1.25,,,0.12,2,0.25,2,,,860,1455,,1556.36,1115.21,1235.02
D62Z,2473,2396,2291,3995,4338,4697.3,5230.2,5763.1,1,2473,0,2396,,,,,,,,,0.73,1.32,,,,,1329,1479,1475,2781,1952.45,2567.96,2822.85,3077.74
D63A,,,5772,5319,5039,5199.05893,4638.206896,4269.814917,,,,,1,5772,1,5319,0.08,1.11,0.1,1.23,,,0.08,1.11,0.1,1.07,,,3708,3552,,4121.09,6121.12,5217.96
D63B,,,3096,2074,1995,1992.700365,1527.79092,1514.187141,,,,,1,3096,0,2074,0.08,1.08,0.09,1.2,,,0.09,1.29,0.08,1.15,,,1826,1746,,1744.18,2999.46,2766.72
D63C,,,1044,3696.5,3517,,,,,,,,0,1044,,,,,,,,,0.19,1.29,0.18,1.3,,,476,,,,770.44,1029.75
D63Z,2879,2892,3304,3696.5,3517,3881.85,4089.9,4297.95,1,2879,1,2892,,,,,,,,,0.76,1.18,,,,,1589,1725,2003,2649,2835.96,3185.768,3527.56,3869.352
D64A,,,,5236,5018,5080.298413,3821.840832,4494.321668,,,,,,,1,5236,0.09,1,0.09,1,,,,,,,,,,3704,,2194.45,,
D64B,,,,1789,1729,1844.51276,1135.465048,1208.199677,,,,,,,0,1789,0.07,0.8,0.09,0.8,,,,,,,,,,871,,1431.06,,
D64Z,2054,2122,2083,3513,3373.5,3838.1,4241.1,4644.1,0,2054,0,2122,0,2083,,,,,,,0.79,0.8,0.09,0.92,0.1,0.95,424,428,391,2288,1569.65,,1477.72,1277.6
D65A,,,,4288,4054,5610.746599,4252.697721,4357.2443,,,,,,,1,4288,0.12,1,0.16,1,,,,,,,,,,3100,,5136.67,,
D65B,,,,1876,1820,1916.731277,1506.131956,1530.837625,,,,,,,0,1876,0.18,1,0.2,1.15,,,,,,,,,,1132,,1221.74,,
